Timestamp,"What is your height in INCHES (Note: 5 feet = 60 inches, 6 feet = 72 inches)","What is your armspan in INCHES.  Armspan is measured as the greatest distance from the tip of the fingers of the left hand to the tip of the fingers of the right when your arms are extended, parallel to the ground.","Are you taller than, or shorter than, your mother?","Are you taller than, or shorter than, your father?"
2022/04/12 5:05:27 PM MDT,74,76,Taller,Taller
2022/04/12 5:05:40 PM MDT,65,65,Taller,About the same
2022/04/12 5:06:30 PM MDT,60 inches,53 inches,Shorter,Shorter
2022/04/12 5:06:31 PM MDT,69.75,69,Taller,About the same
2022/04/12 5:06:40 PM MDT,70,72,Taller,About the same
2022/04/12 5:06:46 PM MDT,68,70.5,Taller,Shorter
2022/04/12 5:06:46 PM MDT,64,60,Taller,Taller
2022/04/12 5:06:46 PM MDT,68,67,Taller,About the same
2022/04/12 5:06:55 PM MDT,68,67,Taller,Shorter
2022/04/12 5:06:57 PM MDT,63 inches,60 inches,About the same,Shorter
2022/04/12 5:06:58 PM MDT,74,76.5,Taller,About the same
2022/04/12 5:07:07 PM MDT,63,60,Taller,Don't know
2022/04/12 5:07:08 PM MDT,69.5,71,Taller,Shorter
2022/04/12 5:07:09 PM MDT,68,68,Taller,Shorter
2022/04/12 5:07:13 PM MDT,72,74,Taller,Taller
2022/04/12 5:07:14 PM MDT,67,64,Shorter,Shorter
2022/04/12 5:07:15 PM MDT,68,67,Taller,About the same
2022/04/12 5:07:18 PM MDT,74,78,Taller,Taller
2022/04/12 5:07:33 PM MDT,71,73,Taller,Taller
2022/04/12 5:07:35 PM MDT,63,62,Taller,Shorter
2022/04/12 5:07:37 PM MDT,70inches,72 inches,Taller,Taller
2022/04/12 5:07:38 PM MDT,72 inches,69.5 inches,Taller,Taller
2022/04/12 5:07:59 PM MDT,65.5,65,Taller,About the same
2022/04/12 5:08:04 PM MDT,74.5,72.5,Taller,Taller
2022/04/12 5:08:05 PM MDT,66 inches,64,About the same,About the same
2022/04/12 5:08:10 PM MDT,68,68.5,Taller,Shorter
2022/04/12 5:08:16 PM MDT,69,70,Taller,Shorter
2022/04/12 5:08:20 PM MDT,65,63,Taller,About the same
2022/04/12 5:08:26 PM MDT,66,62,Taller,Shorter
2022/04/12 5:08:38 PM MDT,72,68.5,Taller,Taller
2022/04/12 5:08:45 PM MDT,72,71,Taller,Taller
2022/04/12 5:08:45 PM MDT,71.65 inches,71,Taller,Taller
2022/04/12 5:08:50 PM MDT,72,,Taller,Taller
2022/04/12 5:08:53 PM MDT,68,70,Taller,About the same
2022/04/12 5:08:58 PM MDT,66.1417,68.8976,Taller,Shorter
2022/04/12 5:09:03 PM MDT,63.5`,59.5,Taller,Shorter
2022/04/12 5:09:04 PM MDT,65,60,About the same,Shorter
2022/04/12 5:09:11 PM MDT,67,64,Don't Know,Don't know
2022/04/12 5:09:24 PM MDT,63.3,61,Shorter,Shorter
2022/04/12 5:09:25 PM MDT,66.1,63,Taller,Shorter
2022/04/12 5:09:30 PM MDT,64 inches,63,Decline to answer,Taller
2022/04/12 5:10:18 PM MDT,65.3543,60,Taller,Shorter
2022/04/12 5:10:19 PM MDT,71,70,Taller,Taller
2022/04/12 5:11:32 PM MDT,66,66,Taller,Shorter
2022/04/12 5:12:20 PM MDT,70.5,75,Taller,About the same
2022/04/12 5:13:55 PM MDT,66,65,Taller,Shorter
