"instme","city","state","iclevel","net_student_tuition","loan_avg_amount","type"
"Alabama A & M University","Normal","AL","four year",17159170,6983,"public"
"University of Alabama at Birmingham","Birmingham","AL","four year",74544431,5727,"public"
"Amridge University","Montgomery","AL","four year",6031170,7500,"private NFP"
"University of Alabama in Huntsville","Huntsville","AL","four year",39860216,5630,"public"
"Alabama State University","Montgomery","AL","four year",11370792,6281,"public"
"Athens State University","Athens","AL","four year",8825569,NA,"public"
"Auburn University at Montgomery","Montgomery","AL","four year",19017203,8339,"public"
"Auburn University Main Campus","Auburn University","AL","four year",231232855,5976,"public"
"Birmingham Southern College","Birmingham","AL","four year",15231690,6814,"private NFP"
"Concordia College-Selma","Selma","AL","four year",860977,3227,"private NFP"
"Enterprise-Ozark Community College","Enterprise","AL","two year",743714,3119,"public"
"James H Faulkner State Community College","Bay Minette","AL","two year",1094532,3941,"public"
"Huntingdon College","Montgomery","AL","four year",6344380,6816,"private NFP"
"Heritage Christian University","Florence","AL","four year",224320,4125,"private NFP"
"J F Ingram State Technical College","Deatsville","AL","two year",2541,NA,"public"
"Jacksonville State University","Jacksonville","AL","four year",28408964,6456,"public"
"Jefferson State Community College","Birmingham","AL","two year",9757151,2985,"public"
"John C Calhoun State Community College","Tanner","AL","two year",6015885,3345,"public"
"Judson College","Marion","AL","four year",1049728,6674,"private NFP"
"University of West Alabama","Livingston","AL","four year",21723442,6507,"public"
"Marion Military Institute","Marion","AL","two year",1522143,4327,"public"
"Miles College","Fairfield","AL","four year",454188,8029,"private NFP"
"University of Mobile","Mobile","AL","four year",9641016,6264,"private NFP"
"University of Montevallo","Montevallo","AL","four year",11019349,5667,"public"
"University of North Alabama","Florence","AL","four year",23158653,5581,"public"
"Oakwood University","Huntsville","AL","four year",13332388,8783,"private NFP"
"Samford University","Birmingham","AL","four year",70985208,6563,"private NFP"
"Spring Hill College","Mobile","AL","four year",10689875,6842,"private NFP"
"Southeastern Bible College","Birmingham","AL","four year",1195384,7038,"private NFP"
"Stillman College","Tuscaloosa","AL","four year",5514319,3885,"private NFP"
"Tuskegee University","Tuskegee","AL","four year",27103662,9602,"private NFP"
"United States Sports Academy","Daphne","AL","four year",5057618,NA,"private NFP"
"Alaska Pacific University","Anchorage","AK","four year",6940727,7196,"private NFP"
"Prince William Sound Community College","Valdez","AK","two year",672867,5032,"public"
"Thunderbird School of Global Magement","Glendale","AZ","four year",59529670,NA,"private NFP"
"American Indian College of the Assemblies of God Inc","Phoenix","AZ","four year",278533,4409,"private NFP"
"Arizo State University","Tempe","AZ","four year",446573000,5357,"public"
"University of Arizo","Tucson","AZ","four year",268744000,6164,"public"
"Cochise College","Douglas","AZ","two year",79326,3459,"public"
"Frank Lloyd Wright School of Architecture","Scottsdale","AZ","four year",407004,NA,"private NFP"
"Glendale Community College","Glendale","AZ","two year",7979099,3387,"public"
"Mesa Community College","Mesa","AZ","two year",13276038,4340,"public"
"Northern Arizo University","Flagstaff","AZ","four year",99496024,5783,"public"
"Phoenix College","Phoenix","AZ","two year",2094096,4828,"public"
"Pima Community College","Tucson","AZ","two year",4795630,4723,"public"
"Prescott College","Prescott","AZ","four year",11415434,6681,"private NFP"
"Rio Salado College","Tempe","AZ","two year",16830092,7266,"public"
"Scottsdale Community College","Scottsdale","AZ","two year",10814256,3829,"public"
