"height","armspan","is.female","compmother","compfather"
74,76,0,"Taller","Taller"
65,65,0,"Taller","About the same"
60,53,1,"Shorter","Shorter"
69.75,69,0,"Taller","About the same"
70,72,0,"Taller","About the same"
68,70.5,0,"Taller","Shorter"
64,60,0,"Taller","Taller"
68,67,0,"Taller","About the same"
68,67,1,"Taller","Shorter"
63,60,1,"About the same","Shorter"
74,76.5,0,"Taller","About the same"
63,60,1,"Taller","Don't know"
69.5,71,0,"Taller","Shorter"
68,68,0,"Taller","Shorter"
72,74,0,"Taller","Taller"
67,64,1,"Shorter","Shorter"
68,67,0,"Taller","About the same"
74,78,0,"Taller","Taller"
71,73,0,"Taller","Taller"
63,62,1,"Taller","Shorter"
70,72,0,"Taller","Taller"
72,69.5,0,"Taller","Taller"
65.5,65,1,"Taller","About the same"
74.5,72.5,0,"Taller","Taller"
66,64,1,"About the same","About the same"
68,68.5,0,"Taller","Shorter"
69,70,0,"Taller","Shorter"
65,63,1,"Taller","About the same"
66,62,1,"Taller","Shorter"
72,68.5,0,"Taller","Taller"
72,71,0,"Taller","Taller"
71.65,71,0,"Taller","Taller"
72,NA,0,"Taller","Taller"
68,70,0,"Taller","About the same"
66.1417,68.8976,1,"Taller","Shorter"
63.5,59.5,1,"Taller","Shorter"
65,60,1,"About the same","Shorter"
67,64,0,"Don't Know","Don't know"
63.3,61,1,"Shorter","Shorter"
66.1,63,1,"Taller","Shorter"
64,63,0,"Decline to answer","Taller"
65.3543,60,1,"Taller","Shorter"
71,70,0,"Taller","Taller"
66,66,0,"Taller","Shorter"
70.5,75,0,"Taller","About the same"
66,65,0,"Taller","Shorter"
