"Item_Number","Set_Name","Theme","Pieces","Price","Amazon_Price","Year","Ages","Pages","Minifigures","Packaging","Weight","Unique_Pieces","Availability","Size","price","amazon_price"
75241,"Action Battle Echo Base Defence","Star Wars™",504,"$59.99","$48.00",2019,"Ages_8+",112,5,"Box",NA,192,"Retail","Small",59.99,48
30620,"Star-Stuck Emmet",NA,41,NA,NA,2019,"Ages_6+",3,1,"Polybag",NA,29,"Promotional",NA,NA,NA
42114,"6x6 Volvo Articulated Hauler","Technic™",2193,"$249.99","$249.99",2020,"Ages_11+",456,NA,"Box",NA,234,"Retail","Small",249.99,249.99
31093,"Riverside Houseboat","Creator 3-in-1",396,"$39.99","$39.98",2019,"Ages_7+",200,2,"Box","0.67Kg (1.48 lb)",157,"Retail","Small",39.99,39.98
11001,"Bricks and Ideas","Classic",123,"$9.99","$9.97",2019,"Ages_4+",42,NA,NA,"0.17Kg (0.37 lb)",59,NA,"Small",9.99,9.97
42074,"Racing Yacht","Technic™",330,"$39.99","$75.99",2018,"Ages_8-14",156,NA,NA,"0.61Kg (1.34 lb)",83,NA,"Small",39.99,75.99
10265,"Ford Mustang","Creator Expert",1471,"$149.99","$149.99",2019,"Ages_16+",212,NA,"Box",NA,358,"LEGO exclusive","Small",149.99,149.99
75215,"Cloud-Rider Swoop Bikes","Star Wars™",355,"$29.99","$44.69",2018,"Ages_8-14",92,3,"Box","0.37Kg (0.81 lb)",148,NA,"Small",29.99,44.69
71367,"Mario's House & Yoshi","LEGO® Super Mario™",205,"$29.99",NA,2020,"Ages_6+",NA,2,"Box",NA,114,"Retail","Small",29.99,NA
2000455,"FIRST LEGO League Jr. promotional set",NA,NA,NA,NA,2019,"Ages_NA",NA,NA,"Polybag",NA,9,"Not sold",NA,NA,NA
41908,"Extra Dots - Series 1","DOTS",109,"$3.99","$3.99",2020,"Ages_6+",NA,NA,"Foil pack",NA,6,"Retail","Small",3.99,3.99
75271,"Luke Skywalker's Landspeeder","Star Wars™",236,"$29.99","$29.93",2020,"Ages_7+",72,3,"Box",NA,104,NA,"Small",29.99,29.93
75953,"Hogwarts Whomping Willow","Harry Potter™",753,"$69.99","$55.99",2018,"Ages_8-14",148,6,"Box","1.1Kg (2.42 lb)",253,"Retail","Small",69.99,55.99
31100,"Sports Car","Creator 3-in-1",134,"$9.99","$9.84",2020,"Ages_6+",120,NA,"Box",NA,60,"Retail","Small",9.99,9.84
60173,"Mountain Arrest","City",303,"$59.99","$82.99",2018,"Ages_5-12",136,4,"Box","0.76Kg (1.67 lb)",168,"Retail","Small",59.99,82.99
31197,"Andy Warhol's Marilyn Monroe","LEGO® Art",3341,"$119.99","$119.95",2020,"Ages_18+",NA,NA,"Box",NA,27,"LEGO exclusive","Small",119.99,119.95
70436,"Phantom Fire Truck 3000","Hidden Side",760,"$59.99","$59.99",2020,"Ages_9+",148,6,"Box",NA,263,"Retail","Small",59.99,59.99
60252,"Construction Bulldozer","City",126,"$19.99","$15.99",2020,"Ages_4+",84,2,"Box","0.35Kg (0.78 lb)",81,"Retail","Small",19.99,15.99
42090,"Getaway Truck","Technic™",128,"$19.99","$19.99",2019,"Ages_7+",110,NA,"Box","0.31Kg (0.68 lb)",33,"Retail","Small",19.99,19.99
41607,"Gamora","BrickHeadz",136,"$9.99","$12.98",2018,"Ages_10+",48,NA,"Box",NA,51,"Retail","Small",9.99,12.98
70837,"Shimmer & Shine Sparkle Spa!","THE LEGO® MOVIE 2™",694,"$69.99","$45.49",2019,"Ages_7+",128,8,"Box",NA,209,"Retail","Small",69.99,45.49
70821,"Emmet and Benny's 'Build and Fix' Workshop!","THE LEGO® MOVIE 2™",117,"$19.99","$19.98",2019,"Ages_4+",48,2,"Box","0.34Kg (0.75 lb)",73,"Retail","Small",19.99,19.98
41907,"Desk Organiser","DOTS",405,"$19.99","$19.95",2020,"Ages_6+",4,NA,"Plastic canister",NA,44,"Retail","Small",19.99,19.95
41392,"Nature Glamping","Friends",241,"$29.99","$26.99",2020,"Ages_6+",72,2,"Box",NA,110,"Retail","Small",29.99,26.99
